AREANM,AREACD,yr1,yr2,yr3,yr4,yr5,yr6
Hartlepool,E06000001,7.3,7.1,7.6,8.0,7.8,8.0
Middlesbrough,E06000002,7.6,7.0,7.3,7.6,8.8,8.8
Redcar and Cleveland,E06000003,8.9,8.0,8.4,9.4,9.2,8.6
Stockton-on-Tees,E06000004,9.3,8.8,9.5,10.0,10.8,10.2
Darlington,E06000005,9.8,10.0,10.5,10.7,10.4,9.8
Halton,E06000006,8.7,8.6,8.3,8.0,8.1,8.3
Warrington,E06000007,8.7,8.7,9.1,10.4,10.8,10.6
Blackburn with Darwen,E06000008,7.0,6.7,8.4,8.4,8.5,8.0
Blackpool,E06000009,6.4,6.7,6.9,7.3,7.8,7.9
"Kingston upon Hull, City of",E06000010,7.8,7.9,7.2,7.9,7.2,8.0
East Riding of Yorkshire,E06000011,10.4,10.0,10.8,10.8,9.7,9.4
North East Lincolnshire,E06000012,9.8,10.0,11.4,11.2,10.4,10.7
North Lincolnshire,E06000013,8.7,8.7,9.1,8.4,9.2,8.5
York,E06000014,9.9,10.4,10.1,11.7,12.1,12.3
Derby ,E06000015,10.9,10.3,9.8,9.4,9.3,9.4
Leicester,E06000016,6.8,7.8,7.5,9.2,9.0,8.8
Rutland ,E06000017,9.6,8.7,8.0,11.4,12.5,11.8
Nottingham,E06000018,8.3,7.6,8.2,7.8,7.4,7.5
"Herefordshire, County of",E06000019,11.3,11.6,10.9,11.3,12.2,12.0
Telford and Wrekin,E06000020,9.5,10.0,9.9,9.9,9.1,9.5
Stoke-on-Trent,E06000021,8.7,9.2,9.7,9.4,10.0,9.9
Bath and North East Somerset,E06000022,11.8,11.8,12.7,12.5,12.4,10.4
"Bristol, City of",E06000023,8.5,7.9,8.3,8.6,8.5,8.3
North Somerset,E06000024,12.0,12.1,11.8,12.2,12.2,13.2
South Gloucestershire,E06000025,11.4,11.7,11.9,12.5,12.2,11.6
Plymouth,E06000026,9.9,9.8,9.0,8.7,9.0,9.5
Torbay,E06000027,11.2,11.4,10.4,10.8,11.0,10.7
Bournemouth,E06000028,10.4,11.0,11.0,10.0,10.2,11.5
Poole,E06000029,11.5,11.8,11.4,12.6,12.2,10.7
Swindon,E06000030,10.9,11.1,12.4,12.5,12.2,12.2
Peterborough,E06000031,9.6,9.3,9.6,9.5,9.3,10.4
Luton,E06000032,8.6,8.4,8.2,8.6,10.0,9.9
Southend-on-Sea,E06000033,11.1,10.6,10.4,10.9,11.0,10.3
Thurrock,E06000034,9.7,10.3,10.4,11.6,10.1,9.7
Medway,E06000035,9.3,8.9,9.4,9.6,10.4,11.1
Bracknell Forest,E06000036,11.1,10.2,11.5,12.1,12.9,13.0
West Berkshire,E06000037,12.5,12.1,12.3,13.4,12.1,12.0
Reading,E06000038,9.3,9.2,11.4,12.4,12.6,12.6
Slough,E06000039,9.9,8.9,9.0,9.1,7.8,7.5
Windsor and Maidenhead,E06000040,11.1,11.5,11.0,11.6,12.5,12.7
Wokingham,E06000041,11.8,11.3,13.1,13.2,14.1,13.0
Milton Keynes,E06000042,9.3,8.4,10.0,10.0,11.4,11.8
Brighton and Hove,E06000043,10.7,11.8,11.4,11.3,11.0,10.7
