date,growth
25/12/2016,70
26/12/2016,23
27/12/2016,84
28/12/2016,14
29/12/2016,64
30/12/2016,86
31/12/2016,71
01/01/2017,57
02/01/2017,9
03/01/2017,86
04/01/2017,45
05/01/2017,87
06/01/2017,8
07/01/2017,92
08/01/2017,78
09/01/2017,45
10/01/2017,96
11/01/2017,60
12/01/2017,6
13/01/2017,6
14/01/2017,44
15/01/2017,35
16/01/2017,54
17/01/2017,16
18/01/2017,45
19/01/2017,67
20/01/2017,5
21/01/2017,92
22/01/2017,30
23/01/2017,3
24/01/2017,49
25/01/2017,62
26/01/2017,83
27/01/2017,6
28/01/2017,44
29/01/2017,64
30/01/2017,48
31/01/2017,11
01/02/2017,19
02/02/2017,66
03/02/2017,87
04/02/2017,66
05/02/2017,65
06/02/2017,93
